date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:59	277/277	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Jul%202004%2021:50:12%20GMT	wolfpack.twu.net/robots.txt		(from )
14:51:59	3570/3570	---M--	200	added ('OK')	text/html	etag:%2229c275-df2-3f20d948%22	wolfpack.twu.net/SearchAndRescue/manual/	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/index.html	(from )
14:51:59	5332/5332	---M--	200	added ('OK')	text/html	etag:%2229c27b-14d4-3f20d9ba%22	wolfpack.twu.net/SearchAndRescue/manual/setup.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/setup.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:00	6733/6733	---M--	200	added ('OK')	text/html	etag:%2229c0c8-1a4d-3f20d8a1%22	wolfpack.twu.net/SearchAndRescue/manual/controls.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/controls.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:00	3408/3408	---M--	200	added ('OK')	text/html	etag:%2229c270-d50-3f20d8fb%22	wolfpack.twu.net/SearchAndRescue/manual/free_flight.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/free_flight.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:00	9725/9725	---M--	200	added ('OK')	text/html	etag:%2229c0c3-25fd-3f20d875%22	wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/aircrafts.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:00	7629/7629	---M--	200	added ('OK')	text/html	etag:%2229c27f-1dcd-3f20da28%22	wolfpack.twu.net/SearchAndRescue/manual/views.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/views.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:01	17306/17306	---M--	200	added ('OK')	text/html	etag:%2229c0cd-439a-3f20d8c7%22	wolfpack.twu.net/SearchAndRescue/manual/flying.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/flying.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:01	1699/1699	---M--	200	added ('OK')	text/html	etag:%2229c285-6a3-3f20d8a3%22	wolfpack.twu.net/SearchAndRescue/manual/createyourown.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/createyourown.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:01	5065/5065	---M--	200	added ('OK')	text/html	etag:%2229c0cb-13c9-3f20d8be%22	wolfpack.twu.net/SearchAndRescue/manual/environment.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/environment.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:02	9199/9199	---M--	200	added ('OK')	text/html	etag:%2229c0cc-23ef-3f20d8c2%22	wolfpack.twu.net/SearchAndRescue/manual/faq.html	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/faq.html	(from wolfpack.twu.net/SearchAndRescue/manual/)
14:52:06	98019/98019	---M--	200	added ('OK')	image/png	etag:%2229c27d-17ee3-3f20d9ff%22	wolfpack.twu.net/SearchAndRescue/manual/title.png	C:/WINDOWS/Desktop/Search%20and%20Rescue%20Folder/Search%20and%20Rescue%20Manael/Search%20and%20Rescue%20-%20Manual/wolfpack.twu.net/SearchAndRescue/manual/title.png	(from wolfpack.twu.net/SearchAndRescue/manual/)
